[INFO] [1741228320.219219480] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder.lua' for 'trajectory_builder.lua'.
[INFO] [1741228320.219467517] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder.lua' for 'trajectory_builder.lua'.
[INFO] [1741228320.219579110] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_2d.lua' for 'trajectory_builder_2d.lua'.
[INFO] [1741228320.219650739] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_2d.lua' for 'trajectory_builder_2d.lua'.
[INFO] [1741228320.220233332] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_3d.lua' for 'trajectory_builder_3d.lua'.
[INFO] [1741228320.220301054] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_3d.lua' for 'trajectory_builder_3d.lua'.
[INFO] [1741228320.222550073] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 map_builder_bridge.cpp:136] Added trajectory with ID '1'.
[INFO] [1741228320.334597239] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 ordered_multi_queue.cc:172] All sensor data for trajectory 1 is available starting at '638768251203247511'.
[INFO] [1741228320.390125443] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 local_trajectory_builder_2d.cc:124] Extrapolator not yet initialized.
[INFO] [1741228320.525604776] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 local_trajectory_builder_2d.cc:135] Extrapolator is still initializing.
[INFO] [1741228320.526926702] [cartographer logger]: I20250306 11:32:00.-2147483648  4914 pose_graph_2d.cc:148] Inserted submap (1, 0).
[INFO] [1741228330.946970214] [cartographer logger]: I20250306 11:32:10.-2147483648  4914 pose_graph_2d.cc:148] Inserted submap (1, 1).
[INFO] [1741228335.337227471] [cartographer logger]: I20250306 11:32:15.-2147483648  4914 collated_trajectory_builder.cc:81] imu rate: 5.00 Hz 2.00e-01 s +/- 4.31e-03 s (pulsed at 100.23% real time)
[INFO] [1741228335.340259990] [cartographer logger]: I20250306 11:32:15.-2147483648  4914 collated_trajectory_builder.cc:81] scan rate: 10.01 Hz 9.99e-02 s +/- 1.31e-03 s (pulsed at 99.58% real time)
[INFO] [1741228341.160092708] [cartographer logger]: I20250306 11:32:21.-2147483648  4914 pose_graph_2d.cc:148] Inserted submap (1, 2).
[INFO] [1741228341.188000468] [cartographer logger]: I20250306 11:32:21.-2147483648  4951 constraint_builder_2d.cc:275] Node (1, 180) with 204 points on submap (1, 0) differs by translation 0.00 rotation 0.005 with score 87.5%.
[INFO] [1741228341.351481208] [cartographer logger]: I20250306 11:32:21.-2147483648  4951 constraint_builder_2d.cc:275] Node (1, 183) with 204 points on submap (1, 0) differs by translation 0.00 rotation 0.006 with score 86.6%.
[INFO] [1741228341.755666152] [cartographer logger]: I20250306 11:32:21.-2147483648  4952 constraint_builder_2d.cc:275] Node (1, 186) with 210 points on submap (1, 0) differs by translation 0.00 rotation 0.002 with score 88.1%.
