[INFO] [1741235121.324408075] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/home/pinky/pinky_violet/install/pinky_cartographer/share/pinky_cartographer/params/initial_pose.lua' for 'initial_pose.lua'.
[INFO] [1741235121.325941723] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/map_builder.lua' for 'map_builder.lua'.
[INFO] [1741235121.326093982] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/map_builder.lua' for 'map_builder.lua'.
[INFO] [1741235121.326278149] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/pose_graph.lua' for 'pose_graph.lua'.
[INFO] [1741235121.326371037] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/pose_graph.lua' for 'pose_graph.lua'.
[INFO] [1741235121.327396389] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder.lua' for 'trajectory_builder.lua'.
[INFO] [1741235121.327496278] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder.lua' for 'trajectory_builder.lua'.
[INFO] [1741235121.327661241] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_2d.lua' for 'trajectory_builder_2d.lua'.
[INFO] [1741235121.327747000] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_2d.lua' for 'trajectory_builder_2d.lua'.
[INFO] [1741235121.328674723] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_3d.lua' for 'trajectory_builder_3d.lua'.
[INFO] [1741235121.328993389] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_3d.lua' for 'trajectory_builder_3d.lua'.
[INFO] [1741235121.458623371] [cartographer logger]: I20250306 13:25:21.-2147483648  6990 map_builder_bridge.cpp:136] Added trajectory with ID '0'.
[INFO] [1741235122.785263370] [cartographer logger]: I20250306 13:25:22.-2147483648  6990 ordered_multi_queue.cc:172] All sensor data for trajectory 0 is available starting at '638768319227820892'.
[INFO] [1741235122.829577388] [cartographer logger]: I20250306 13:25:22.-2147483648  6990 local_trajectory_builder_2d.cc:124] Extrapolator not yet initialized.
[INFO] [1741235123.003596333] [cartographer logger]: I20250306 13:25:23.-2147483648  6990 local_trajectory_builder_2d.cc:135] Extrapolator is still initializing.
[INFO] [1741235123.013754388] [cartographer logger]: I20250306 13:25:23.-2147483648  6990 pose_graph_2d.cc:148] Inserted submap (0, 0).
[INFO] [1741235136.601503158] [cartographer logger]: I20250306 13:25:36.-2147483648  6990 collated_trajectory_builder.cc:81] imu rate: 5.00 Hz 2.00e-01 s +/- 5.73e-03 s (pulsed at 100.07% real time)
[INFO] [1741235136.602951362] [cartographer logger]: I20250306 13:25:36.-2147483648  6990 collated_trajectory_builder.cc:81] scan rate: 10.01 Hz 9.99e-02 s +/- 1.81e-03 s (pulsed at 99.35% real time)
[INFO] [1741235138.270584694] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 node.cpp:569] Shutdown the subscriber of [scan]
[INFO] [1741235138.270801268] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 node.cpp:569] Shutdown the subscriber of [imu]
[INFO] [1741235138.270948416] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 map_builder_bridge.cpp:152] Finishing trajectory with ID '0'...
[INFO] [1741235138.275157472] [cartographer logger]: I20250306 13:25:38.-2147483648  7057 pose_graph_2d.cc:538] Remaining work items in queue: 0
[INFO] [1741235138.282627694] [cartographer logger]: I20250306 13:25:38.-2147483648  7056 constraint_builder_2d.cc:290] 0 computations resulted in 0 additional constraints.
[INFO] [1741235138.282702027] [cartographer logger]: I20250306 13:25:38.-2147483648  7056 constraint_builder_2d.cc:292] Score histogram:
Count: 0
[WARN] [1741235138.295108453] [cartographer logger]: W20250306 13:25:38.-2147483648  7056 preprocessor.cc:67] Specified options.num_threads: 7 exceeds maximum available from the threading model Ceres was compiled with: 4.  Bounding to maximum number available.
[INFO] [1741235138.322057564] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/home/pinky/pinky_violet/install/pinky_cartographer/share/pinky_cartographer/params/nav2_cartographer_params.lua' for 'nav2_cartographer_params.lua'.
[INFO] [1741235138.325076935] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/map_builder.lua' for 'map_builder.lua'.
[INFO] [1741235138.325164583] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/map_builder.lua' for 'map_builder.lua'.
[INFO] [1741235138.325284805] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/pose_graph.lua' for 'pose_graph.lua'.
[INFO] [1741235138.325985953] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/pose_graph.lua' for 'pose_graph.lua'.
[INFO] [1741235138.327712879] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder.lua' for 'trajectory_builder.lua'.
[INFO] [1741235138.327811583] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder.lua' for 'trajectory_builder.lua'.
[INFO] [1741235138.328020490] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_2d.lua' for 'trajectory_builder_2d.lua'.
[INFO] [1741235138.328184231] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_2d.lua' for 'trajectory_builder_2d.lua'.
[INFO] [1741235138.328496583] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_3d.lua' for 'trajectory_builder_3d.lua'.
[INFO] [1741235138.328556027] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/trajectory_builder_3d.lua' for 'trajectory_builder_3d.lua'.
[INFO] [1741235138.332312342] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 map_builder_bridge.cpp:136] Added trajectory with ID '1'.
[INFO] [1741235138.419072472] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 ordered_multi_queue.cc:172] All sensor data for trajectory 1 is available starting at '638768319384131319'.
[INFO] [1741235138.582327583] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 local_trajectory_builder_2d.cc:135] Extrapolator is still initializing.
[INFO] [1741235138.583750638] [cartographer logger]: I20250306 13:25:38.-2147483648  6990 pose_graph_2d.cc:148] Inserted submap (1, 0).
[INFO] [1741235148.205329225] [cartographer logger]: I20250306 13:25:48.-2147483648  6990 pose_graph_2d.cc:148] Inserted submap (1, 1).
[INFO] [1741235148.755771003] [cartographer logger]: I20250306 13:25:48.-2147483648  6990 node.cpp:569] Shutdown the subscriber of [scan]
[INFO] [1741235148.755896521] [cartographer logger]: I20250306 13:25:48.-2147483648  6990 node.cpp:569] Shutdown the subscriber of [imu]
[INFO] [1741235148.755942206] [cartographer logger]: I20250306 13:25:48.-2147483648  6990 map_builder_bridge.cpp:152] Finishing trajectory with ID '1'...
[INFO] [1741235148.773298077] [cartographer logger]: I20250306 13:25:48.-2147483648  7054 pose_graph_2d.cc:538] Remaining work items in queue: 0
[INFO] [1741235148.773425169] [cartographer logger]: I20250306 13:25:48.-2147483648  7054 constraint_builder_2d.cc:290] 0 computations resulted in 0 additional constraints.
[INFO] [1741235148.773479299] [cartographer logger]: I20250306 13:25:48.-2147483648  7054 constraint_builder_2d.cc:292] Score histogram:
Count: 0
[WARN] [1741235148.776569929] [cartographer logger]: W20250306 13:25:48.-2147483648  7054 preprocessor.cc:67] Specified options.num_threads: 7 exceeds maximum available from the threading model Ceres was compiled with: 4.  Bounding to maximum number available.
[INFO] [1741235148.795566725] [cartographer logger]: I20250306 13:25:48.-2147483648  6990 configuration_file_resolver.cc:41] Found '/home/pinky/pinky_violet/install/pinky_cartographer/share/pinky_cartographer/params/nav2_cartographer_params.lua' for 'nav2_cartographer_params.lua'.
[INFO] [1741235148.796154299] [cartographer logger]: I20250306 13:25:48.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/map_builder.lua' for 'map_builder.lua'.
[INFO] [1741235148.796228558] [cartographer logger]: I20250306 13:25:48.-2147483648  6990 configuration_file_resolver.cc:41] Found '/opt/ros/jazzy/share/cartographer/configuration_files/map_builder.lua' for 'map_builder.lua'.
